owner,n.datasets,datasets
tz3q-nbms,27,"https://data.hawaii.gov/d/y552-5npg
https://data.hawaii.gov/d/kvxz-kgus
https://data.hawaii.gov/d/925j-bvtf
https://data.hawaii.gov/d/eka3-jtym
https://data.hawaii.gov/d/gh6p-h4zh
https://data.hawaii.gov/d/8c9d-icsk
https://data.hawaii.gov/d/4aev-4wcp
https://data.hawaii.gov/d/qf68-85mp
https://data.hawaii.gov/d/6qs2-myjy
https://data.hawaii.gov/d/36sn-6y6i
https://data.hawaii.gov/d/yqwh-a98a
https://data.hawaii.gov/d/t7s5-hq54
https://data.hawaii.gov/d/gbc6-7wd5
https://data.hawaii.gov/d/c6yc-q45m
https://data.hawaii.gov/d/xq7y-shap
https://data.hawaii.gov/d/vu5k-tpzi
https://data.hawaii.gov/d/j5f7-zwt4
https://data.hawaii.gov/d/x7ms-76ef
https://data.hawaii.gov/d/2nmb-yjyz
https://data.hawaii.gov/d/h75s-w2bh
https://data.hawaii.gov/d/wtva-8edn
https://data.hawaii.gov/d/ubbj-kjan
https://data.hawaii.gov/d/mqyv-bg4m
https://data.hawaii.gov/d/m25r-gk94
https://data.hawaii.gov/d/etkt-dyk6
https://data.hawaii.gov/d/pkba-543m
https://data.hawaii.gov/d/wywn-g8mf"
k7zq-ggsd,1,https://data.ok.gov/d/7ikm-sxss
iygy-mwe8,1,https://data.baltimorecity.gov/d/h6jj-ysdf
g3g6-qcuf,1,https://data.sfgov.org/d/fi3h-6q7h
skwd-vzfh,1,https://data.maryland.gov/d/a4uh-tqp8
7gzb-k8bb,17,"https://data.mo.gov/d/rffn-8etx
https://data.mo.gov/d/5kut-2ipu
https://data.mo.gov/d/vcht-ax7q
https://data.mo.gov/d/x2sz-vt5x
https://data.mo.gov/d/gtnr-fa44
https://data.mo.gov/d/6k9k-z7av
https://data.mo.gov/d/ch9r-dgr8
https://data.mo.gov/d/m42q-ydib
https://data.mo.gov/d/s82q-fnv4
https://data.mo.gov/d/uje7-wy66
https://data.mo.gov/d/j7cv-jfn5
https://data.mo.gov/d/t6as-zb5p
https://data.mo.gov/d/hbzh-zdn9
https://data.mo.gov/d/bq8z-8npg
https://data.mo.gov/d/ihmq-pcix
https://data.mo.gov/d/jggk-g7bn
https://data.mo.gov/d/44qy-eip9"
a478-cajb,1,https://finances.worldbank.org/d/qink-5g7v
btvw-7mjp,2,"https://healthmeasures.aspe.hhs.gov/d/6n6e-idzh
https://healthmeasures.aspe.hhs.gov/d/wuhe-afam"
tbr3-7rqc,1,http://dati.lombardia.it/d/qr6s-924r
4wx4-9hk2,1,https://data.baltimorecity.gov/d/vaaa-rasf
dchi-mpbc,3,"https://data.hawaii.gov/d/3yqa-73dk
https://data.oregon.gov/d/3yqa-73dk
https://data.ok.gov/d/3yqa-73dk"
nr42-tfq9,1,https://data.oregon.gov/d/6dmf-srxt
v8wk-qcyk,8,"https://data.wa.gov/d/i2cg-fxef
https://data.wa.gov/d/8w9u-ez4g
https://data.wa.gov/d/b777-7guf
https://data.wa.gov/d/nexx-ki2p
https://data.wa.gov/d/6f59-x75m
https://data.seattle.gov/d/fmi9-wkvc
https://data.seattle.gov/d/5dmh-h3xw
https://data.seattle.gov/d/be7g-d5uk"
syw5-ihfn,9,"https://data.hawaii.gov/d/ap2x-trxs
https://data.hawaii.gov/d/pnt4-nysb
https://data.hawaii.gov/d/vz49-g3m4
https://data.oregon.gov/d/ap2x-trxs
https://data.oregon.gov/d/pnt4-nysb
https://data.oregon.gov/d/vz49-g3m4
https://data.ok.gov/d/ap2x-trxs
https://data.ok.gov/d/pnt4-nysb
https://data.ok.gov/d/vz49-g3m4"
w4k4-w589,1,https://data.oaklandnet.com/d/mszb-d9te
fc2q-4b79,2,"https://data.cityofnewyork.us/d/7fe7-xt57
https://bronx.lehman.cuny.edu/d/7fe7-xt57"
c8kg-jhj2,2,"https://finances.worldbank.org/d/v94w-qrnp
https://finances.worldbank.org/d/zqt4-4nxg"
j5tf-67w4,1,https://finances.worldbank.org/d/k3gb-55t8
s6bu-hqy3,4,"https://data.seattle.gov/d/jkef-6gpj
https://data.seattle.gov/d/d7u8-eci3
https://data.seattle.gov/d/a9js-z3px
https://data.seattle.gov/d/marp-v2uc"
s72r-wcke,2,"https://data.cityofnewyork.us/d/awws-he9u
https://bronx.lehman.cuny.edu/d/awws-he9u"
phkp-5s4h,1,https://data.seattle.gov/d/e76w-qndj
cw7i-utrb,1,https://data.oaklandnet.com/d/242i-6hv9
4jxx-djfe,1,https://finances.worldbank.org/d/sh8q-jxst
zn8n-8wyr,13,"https://data.sfgov.org/d/7egw-qt89
https://data.sfgov.org/d/uupn-yfaw
https://data.sfgov.org/d/uf55-k7py
https://data.sfgov.org/d/pr8c-44vs
https://data.sfgov.org/d/u9ke-iwn4
https://data.sfgov.org/d/4vvz-yypg
https://data.sfgov.org/d/wc6f-brai
https://data.sfgov.org/d/kafd-tnmx
https://data.sfgov.org/d/ed75-88qt
https://data.sfgov.org/d/t2wk-cmp9
https://data.sfgov.org/d/76ec-bw8s
https://data.sfgov.org/d/bbgf-n7vn
https://data.sfgov.org/d/untr-ik2h"
2fjt-8tt3,8,"https://data.illinois.gov/d/psu7-7v6n
https://data.illinois.gov/d/nqg7-qj9m
https://data.illinois.gov/d/8er4-yf93
https://data.illinois.gov/d/rg56-im3p
https://www.metrochicagodata.org/d/psu7-7v6n
https://www.metrochicagodata.org/d/nqg7-qj9m
https://www.metrochicagodata.org/d/8er4-yf93
https://www.metrochicagodata.org/d/rg56-im3p"
8228-din4,6,"https://data.hawaii.gov/d/56fk-rxnc
https://data.hawaii.gov/d/pwti-pw42
https://data.oregon.gov/d/56fk-rxnc
https://data.oregon.gov/d/pwti-pw42
https://data.ok.gov/d/56fk-rxnc
https://data.ok.gov/d/pwti-pw42"
dfpi-8y98,1,https://data.hawaii.gov/d/dz4g-rk84
9xxy-35ce,1,https://data.wa.gov/d/qgky-ehc7
mxzg-tghe,1,https://data.oregon.gov/d/nd86-jn4h
un3j-eycx,2,"https://data.cityofnewyork.us/d/tqep-rn2w
https://bronx.lehman.cuny.edu/d/tqep-rn2w"
8huc-jmpe,4,"https://data.cityofnewyork.us/d/8bzm-spaq
https://data.cityofnewyork.us/d/wdwj-7we3
https://bronx.lehman.cuny.edu/d/8bzm-spaq
https://bronx.lehman.cuny.edu/d/wdwj-7we3"
g796-5j7s,1,https://data.seattle.gov/d/rraa-p92t
rgyn-42d9,1,https://www.halifaxopendata.ca/d/dwmm-94dk
tx2f-8v4t,1,https://data.acgov.org/d/fhbp-4r8x
khv4-3v37,6,"https://data.hawaii.gov/d/66u4-rwja
https://data.hawaii.gov/d/tzy3-wyk3
https://data.oregon.gov/d/66u4-rwja
https://data.oregon.gov/d/tzy3-wyk3
https://data.ok.gov/d/66u4-rwja
https://data.ok.gov/d/tzy3-wyk3"
ndu6-ixb7,3,"https://data.hawaii.gov/d/byd8-qp9y
https://data.oregon.gov/d/byd8-qp9y
https://data.ok.gov/d/byd8-qp9y"
gds2-uc4t,2,"https://www.data.act.gov.au/d/45zm-6wuj
https://www.data.act.gov.au/d/ft9y-bzv9"
eevy-uvst,2,"http://dati.lombardia.it/d/m53e-y34m
http://dati.lombardia.it/d/ewwn-newb"
akzr-gdhc,2,"https://data.cityofnewyork.us/d/58h5-zupc
https://bronx.lehman.cuny.edu/d/58h5-zupc"
3szx-aub7,1,https://finances.worldbank.org/d/8h8t-77k4
4w7m-z22t,38,"https://data.raleighnc.gov/d/3rxu-484n
https://data.raleighnc.gov/d/guyh-emm5
https://data.raleighnc.gov/d/2kkq-msj2
https://data.raleighnc.gov/d/csw9-dd5k
https://data.raleighnc.gov/d/fieu-qabr
https://data.raleighnc.gov/d/g8gd-c5um
https://data.raleighnc.gov/d/hrqt-vu4b
https://data.raleighnc.gov/d/k6ij-tfam
https://data.raleighnc.gov/d/m2ue-t8vr
https://data.raleighnc.gov/d/2cd7-wc9z
https://data.raleighnc.gov/d/i767-p7sy
https://data.raleighnc.gov/d/tkr5-syhw
https://data.raleighnc.gov/d/ad7t-5fup
https://data.raleighnc.gov/d/deu2-ek27
https://data.raleighnc.gov/d/drgb-ukri
https://data.raleighnc.gov/d/ezs2-a7ht
https://data.raleighnc.gov/d/uwht-inw6
https://data.raleighnc.gov/d/xmbx-3ste
https://data.raleighnc.gov/d/jmn5-r656
https://data.raleighnc.gov/d/t3bg-p24v
https://data.raleighnc.gov/d/yg56-pkkd
https://data.raleighnc.gov/d/239e-k8dy
https://data.raleighnc.gov/d/5ra6-7y8g
https://data.raleighnc.gov/d/ca5q-85z8
https://data.raleighnc.gov/d/9jpu-q7md
https://data.raleighnc.gov/d/daq7-bfcy
https://data.raleighnc.gov/d/k9me-9w7n
https://data.raleighnc.gov/d/429f-jtbv
https://data.raleighnc.gov/d/7qhp-z5xf
https://data.raleighnc.gov/d/ep39-cnqt
https://data.raleighnc.gov/d/6jqk-wrrd
https://data.raleighnc.gov/d/qhnd-rdfb
https://data.raleighnc.gov/d/s3fz-ywup
https://data.raleighnc.gov/d/98ay-7gmp
https://data.raleighnc.gov/d/w6ij-tvr9
https://data.raleighnc.gov/d/yvdw-7t4e
https://data.raleighnc.gov/d/f66t-96eq
https://data.raleighnc.gov/d/gqtg-hrw2"
cgar-f22v,3,"https://finances.worldbank.org/d/iws8-kay5
https://finances.worldbank.org/d/cjjb-4nbw
https://finances.worldbank.org/d/d3pp-968n"
9gj6-nr38,1,https://data.oregon.gov/d/ueru-twvj
wd3b-qsfc,1,https://data.seattle.gov/d/efwn-vuh8
iq5q-c3b4,1,https://data.seattle.gov/d/qyid-r9d9
mmef-yzfm,3,"https://finances.worldbank.org/d/6vvi-cdh4
https://finances.worldbank.org/d/mcnx-ijtp
https://finances.worldbank.org/d/tb5s-8zmn"
ja5x-nidf,6,"https://data.cityofnewyork.us/d/in4r-yuvc
